Time [s],Value,Parity Error,Framing Error
0.055842375000000,0x81,,
0.062852750000000,0xD0,,
0.069767000000000,0xF1,,
0.076777375000000,0x3E,,
0.083787625000000,0x80,,
0.133905375000000,0x81,,
0.134865625000000,0xF1,,
0.135825750000000,0xD0,,
0.136785875000000,0x7E,,
0.137746000000000,0xC0,,
3.140578750000000,0x81,,
3.147493000000000,0xD0,,
3.154503375000000,0xF1,,
3.161513625000000,0x3E,,
3.168524000000000,0x80,,
3.218680000000000,0x81,,
3.219640125000000,0xF1,,
3.220600375000000,0xD0,,
3.221560500000000,0x7E,,
3.222520625000000,0xC0,,
